iso_code,iso_country,alt_names
AIA,Anguilla,Anguilla
ATG,Antigua and Barbuda,Antigua and Barbuda
ABW,Aruba,Aruba
BHS,Bahamas,Bahamas
BRB,Barbados,Barbados
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
BES,"Bonaire, Sint Eustatius and Saba",Netherlands Antilles
BES,"Bonaire, Sint Eustatius and Saba",Bonaire
BES,"Bonaire, Sint Eustatius and Saba",Sint Eustatius
BES,"Bonaire, Sint Eustatius and Saba",Saba
CYM,Cayman Islands,Cayman Islands
CUB,Cuba,Cuba
CUW,Curaçao,Curaçao
CUW,Curaçao,Netherlands Antilles
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
GRD,Grenada,Grenada
GLP,Guadeloupe,Guadeloupe
HTI,Haiti,Haiti
JAM,Jamaica,Jamaica
MTQ,Martinique,Martinique
MSR,Montserrat,Montserrat
PRI,Puerto Rico,Puerto Rico
BLM,Saint Barthélemy,Saint Barthélemy
KNA,Saint Kitts & Nevis,Saint Kitts & Nevis
KNA,Saint Kitts & Nevis,Saint Kitts
KNA,Saint Kitts & Nevis,Nevis
LCA,Saint Lucia,Saint Lucia
MAF,Saint Martin,Saint Martin
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
SXM,Sint Maarten,Sint Maarten
TTO,Trinidad and Tobago,Trinidad and Tobago
TTO,Trinidad and Tobago,Trinidad
TTO,Trinidad and Tobago,Tobago
TCA,Turks and Caicos Islands,Turks and Caicos Islands
VGB,"Virgin Islands, British","Virgin Islands, British"
VGB,"Virgin Islands, British",British Virgin Islands
VIR,"Virgin Islands, U.S.","Virgin Islands, U.S."
VIR,"Virgin Islands, U.S.",U.S. Virgin Islands
VIR,"Virgin Islands, U.S.",United States Virgin Islands