Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,49,Cuba,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.12,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.17,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,49,Cuba,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,1.15,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,1.33,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2012,2012,kcal/capita/day,29,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,27,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,3.95,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,3.88,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,1.28,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,1.08,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2012,2012,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,1.11,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.94,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.24,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.2,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.12,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.97,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.96,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2012,2012,kcal/capita/day,8,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,0.92,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,0.91,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,0.38,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,0.38,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2012,2012,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.11,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.11,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.16,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.16,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0.04,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.04,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,56,Dominican Republic,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,11,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,11,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,2.16,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,2.14,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.15,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.15,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2012,2012,kcal/capita/day,42,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,42,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,5.77,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,5.71,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,1.9,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,1.88,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2012,2012,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.95,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.94,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.11,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.11,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,86,Grenada,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,93,Haiti,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,93,Haiti,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,93,Haiti,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.1,Fc,Calculated data
FBS,Food Balance Sheets,93,Haiti,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.1,Fc,Calculated data
