"name_govt","alpha_3","energy_adequacy","calories_pf","protein_pf","wgi_corrupt","wgi_goveff","wgi_polstab","wgi_regqual","wgi_rulelaw","wgi_account","wgi_mean","exports_fish","imports_fish","production_fish","reexports_fish","exports_fish_yn","imports_fish_yn","reexports_fish_yn","exports_fad","imports_fad","production_fad","reexports_fad","exports_fad_yn","imports_fad_yn","reexports_fad_yn","tourists"
"Anguilla","AIA",NA,NA,NA,1.238614,0.8301269,1.297391,0.8194681,-0.0986837,NA,0.81738326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","95",0.00798650768386831,0.0391322051050944,0.2766346,-0.0060096,0.7261432,0.411548,0.3933258,0.618535,0.403362833333333,491.666666666667,1151.33333333333,NA,5.33333333333333,1,1,1,445.666666666667,29,NA,NA,1,1,0,NA
"Aruba","ABW",NA,NA,NA,1.252027,1.058392,1.366119,0.853144,1.297575,1.305925,1.18886366666667,8684.66666666667,7977.66666666667,NA,NA,1,1,0,NA,296,NA,NA,0,1,0,NA
"Bahamas","BHS","109",0.00995614340211892,0.0539149955434956,1.131102,0.5391499,0.8721167,0.1511079,0.0969947,0.7956346,0.5976843,7376.66666666667,2971,8,812.666666666667,1,1,1,60.6666666666667,540,NA,1,1,1,1,NA
"Barbados","BRB","121",0.0169990167629283,0.0918479692356319,1.411373,0.4269727,0.9214329,0.5401858,0.3949094,1.12459,0.803243966666667,6845.33333333333,2130.66666666667,NA,195.333333333333,1,1,1,63.6666666666667,1116.66666666667,NA,110,1,1,1,NA
"Bonaire, Sint Eustatius and Saba","BES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264.33333333333,3606,NA,NA,1,1,0,624.666666666667,376.666666666667,NA,NA,1,1,0,NA
"Cayman Islands","CYM",NA,NA,NA,0.4963436,1.204366,1.149285,0.9785166,0.7744462,0.4919728,0.849155033333333,152,12296.3333333333,NA,NA,1,1,0,0,2.66666666666667,NA,NA,0,1,0,NA
"Cuba","CUB","147",0.000488583541995451,0.00330320149747072,0.1654153,-0.2448378,0.6523342,-1.455965,-0.4443496,-1.444819,-0.462036983333333,187.333333333333,772.333333333333,16.5,NA,1,1,0,0.5,53.6666666666667,1.5,NA,1,1,0,NA
"Curaçao","CUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,173.666666666667,NA,NA,1,1,0,7,21,NA,NA,1,1,0,NA
"Dominica","DMA","122",0.0113779009273437,0.0699560179736531,0.5457337,-0.2895034,1.107935,0.0820731,0.6176011,0.8105155,0.479059166666667,4.33333333333333,864.666666666667,NA,0,1,1,0,1,4,NA,NA,1,1,0,NA
"Dominican Republic","DOM","114",0.00217716275355477,0.0164414210178344,-0.74949,-0.4002573,0.0347933,-0.0771244,-0.3962312,0.1374327,-0.241812816666667,115,871,NA,NA,1,1,0,3.66666666666667,10,NA,NA,1,1,0,NA
"Grenada","GRD","100",0.0175449018545832,0.0917468864759434,NA,NA,NA,NA,NA,NA,NA,4352,8028.33333333333,NA,1533,1,1,1,655,0,NA,0,1,0,0,NA
"Guadeloupe","GLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13554.6666666667,10136.3333333333,NA,NA,1,1,0,1,1082.33333333333,NA,NA,1,1,0,NA
"Haiti","HTI","96",0.00222340898848609,0.0166949974952893,-1.265189,-1.909054,-0.6268144,-1.224258,-1.028031,-0.7454833,-1.13313828333333,1344.66666666667,2985,NA,NA,1,1,0,38.3333333333333,1308,NA,NA,1,1,0,NA
"Jamaica","JAM","113",0.00697623258858278,0.0390525692781487,NA,NA,NA,NA,NA,NA,NA,437,5576,0,8828.66666666667,1,1,1,49,712,NA,25,1,1,1,NA
"Martinique","MTQ",NA,NA,NA,1.238614,1.108839,0.9858225,1.187921,0.8764146,NA,1.07952222,46.3333333333333,421.333333333333,NA,NA,1,1,0,NA,210.333333333333,NA,NA,0,1,0,NA
"Montserrat","MSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6929.33333333333,NA,NA,0,1,0,NA,10.3333333333333,NA,NA,0,1,0,NA
"Montserrat","MSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6929.33333333333,NA,NA,0,1,0,NA,10.3333333333333,NA,NA,0,1,0,NA
"Puerto Rico","PRI",NA,NA,NA,0.0401706,-0.156924,0.4000113,0.9279462,0.5868457,0.4919728,0.381670433333333,NA,1043,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthélemy","BLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Kitts and Nevis","KNA","102",0.00599026345398622,0.033920921163125,0.4525903,0.5514148,0.7104676,0.5108522,0.5333768,0.8967314,0.60923885,550,4262,NA,24.3333333333333,1,1,1,0,1,NA,NA,0,1,0,NA
"Saint Lucia","LCA","104",0.0155276006231878,0.0758009157231053,0.5362028,0.1956703,1.013306,0.2870998,0.5592496,0.8583953,0.5749873,92,1709,NA,237.666666666667,1,1,1,39,146,NA,0.666666666666667,1,1,1,NA
"Saint Martin","MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Vincent and the Grenadines","VCT","121",0.00503150243904512,0.0262273758966722,0.7688255,0.1956703,0.8540489,0.2558284,0.4326417,0.8780061,0.56417015,43.6666666666667,1897,NA,4.66666666666667,1,1,1,2.33333333333333,154.666666666667,NA,4.5,1,1,1,NA
"Sint Maarten","SXM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad and Tobago","TTO","129",0.00560937265679368,0.0335235262503037,-0.317267,0.1902379,0.2480514,-0.0206371,-0.1205074,0.5656093,0.0909145166666667,1665.66666666667,10622.3333333333,NA,526.333333333333,1,1,1,322.666666666667,196.333333333333,NA,2,1,1,1,NA
"Turks and Caicos Islands","TCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872.33333333333,3186.33333333333,NA,NA,1,1,0,74.3333333333333,230.333333333333,NA,NA,1,1,0,NA
"Virgin Islands, British","VGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virgin Islands, U.S.","VIR",NA,NA,NA,0.6316952,0.8301269,0.9858225,0.8194681,1.120189,NA,0.87746034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
