alpha_3,Year,Product Name,Country Name,Trade Type,Volume (kg),Value (USD)
PRI,2016,TUNA ALBACORE FRESH,SINT MAARTEN,EXP,14239,36407
PRI,2016,FISH NSPF FILLET FRESH,INDIA,EXP,4854,34429
PRI,2016,GROUNDFISH COD NSPF FILLET FROZEN,UNITED KINGDOM,EXP,159,3500
PRI,2015,FISH NSPF FILLET FRESH,CHINA,EXP,27240,105142
PRI,2014,TUNA ALBACORE FRESH,ST.KITTS-NEVIS,EXP,5851,26096
PRI,2014,TUNA ALBACORE FRESH,FRANCE,EXP,435,2600
PRI,2014,TUNA NSPF FRESH,ANGUILLA,EXP,3963,8736
PRI,2014,MACKEREL FROZEN,CANADA,EXP,43954,44678
PRI,2014,FISH NSPF LIVER OIL/FRACTIONS,BRITISH VIRGIN IS.,EXP,227,5891
PRI,2016,GROUNDFISH COD NSPF FILLET FROZEN,SWITZERLAND,EXP,310,6500
PRI,2016,GROUNDFISH HADDOCK FILLET FROZEN,BRITISH VIRGIN IS.,EXP,327,2765
PRI,2015,"FISH,SHELLFISH PRODUCTS UNFIT FOR HUMAN CONSUMPTION",BRITISH VIRGIN IS.,EXP,1023,15430
PRI,2014,TUNA ALBACORE FRESH,ANGUILLA,EXP,953,4368
PRI,2014,TUNA NSPF FRESH,SINT MAARTEN,EXP,980,8736
PRI,2014,TUNA ALBACORE FROZEN,FRANCE,EXP,980,3900
PRI,2014,"STICKS,TYPE PRODUCTS NOT COATED OF MINCED",BRITISH VIRGIN IS.,EXP,1232,5124
PRI,2016,"SALMON ATLANTIC,DANUBE FROZEN",BRITISH VIRGIN IS.,EXP,8691,51755
PRI,2016,TUNA NSPF PREPARED/PRESERVED,ANGUILLA,EXP,762,4032
PRI,2016,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",BARBADOS,EXP,4000,10164
PRI,2015,"SARDINE,SARDINELLA,BRISLING,SPRAT PREPARED/PRESERVED",HAITI,EXP,1074,4194
PRI,2015,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",BARBADOS,EXP,14000,29227
PRI,2014,FISH NSPF FROZEN,BRAZIL,EXP,23000,123952
PRI,2014,FISH NSPF FILLET FROZEN,BRITISH VIRGIN IS.,EXP,568,7334
PRI,2014,SALMON NSPF PREPARED/PRESERVED,BRITISH VIRGIN IS.,EXP,400,2690
PRI,2016,TUNA YELLOWFIN FROZEN,INDONESIA,EXP,39852,96000
PRI,2016,GROUNDFISH COD NSPF FILLET FROZEN,COLOMBIA,EXP,1521,3500
PRI,2016,TUNA NSPF PREPARED/PRESERVED,SINT MAARTEN,EXP,1941,7896
PRI,2015,TUNA ALBACORE FRESH,ANGUILLA,EXP,986,4368
PRI,2015,TUNA ALBACORE FRESH,ST.KITTS-NEVIS,EXP,22859,103060
PRI,2015,"FISH,SHELLFISH NSPF JUICE",CURACO,EXP,2860,9333
PRI,2014,"STICKS,TYPE PRODUCTS COATED OF MINCED",SINT MAARTEN,EXP,6245,17897
PRI,2016,TUNA ALBACORE FRESH,ST.KITTS-NEVIS,EXP,3629,4030
PRI,2016,GROUNDFISH POLLOCK ALASKA ROE FROZEN,DOMINICAN REPUBLIC,EXP,4536,50000
PRI,2016,GROUNDFISH COD NSPF FILLET FROZEN,BRAZIL,EXP,1066,3500
PRI,2016,FISH NSPF FILLET FROZEN,BRITISH VIRGIN IS.,EXP,567,6353
PRI,2016,FISH NSPF DRIED,ANGUILLA,EXP,762,4032
PRI,2015,TUNA NSPF FRESH,ST.KITTS-NEVIS,EXP,9058,42106
PRI,2014,FISH NSPF FROZEN,DOMINICAN REPUBLIC,EXP,73009,220675
PRI,2014,FISH NSPF DRIED,BRITISH VIRGIN IS.,EXP,508,4480
PRI,2014,"SARDINE,SARDINELLA,BRISLING,SPRAT PREPARED/PRESERVED",DOMINICAN REPUBLIC,EXP,2041,4870
PRI,2014,TUNA NSPF PREPARED/PRESERVED,ANGUILLA,EXP,6765,32088
PRI,2016,TUNA ALBACORE FRESH,ANGUILLA,EXP,3446,15904
PRI,2016,TUNA NSPF FRESH,ANGUILLA,EXP,3056,11961
PRI,2016,"SARDINE,SARDINELLA,BRISLING,SPRAT PREPARED/PRESERVED",BRITISH VIRGIN IS.,EXP,3913,3450
PRI,2016,TUNA NSPF PREPARED/PRESERVED,ST.KITTS-NEVIS,EXP,2821,11420
PRI,2015,TUNA ALBACORE FRESH,SINT MAARTEN,EXP,17592,65688
PRI,2015,GROUNDFISH OCEAN PERCH PACIFIC FROZEN,DOMINICAN REPUBLIC,EXP,1811,5321
PRI,2014,TUNA ALBACORE FRESH,SINT MAARTEN,EXP,28576,96964
PRI,2014,TUNA NSPF PREPARED/PRESERVED,ST.KITTS-NEVIS,EXP,5860,29232
PRI,2014,"STICKS,TYPE PRODUCTS NOT COATED OF MINCED",SINT MAARTEN,EXP,1361,4095
PRI,2016,FISH NSPF FROZEN,DOMINICAN REPUBLIC,EXP,23710,124740
PRI,2016,TUNA NSPF FILLET FROZEN,THAILAND,EXP,6636,78485
PRI,2016,FISH NSPF FILLET DRIED/SALTED/BRINE,GERMANY,EXP,22545,136349
PRI,2016,CRABMEAT NSPF IN ATC,DOMINICAN REPUBLIC,EXP,461,3099
PRI,2015,FISH NSPF DRIED,ANGUILLA,EXP,3810,20160
PRI,2014,TUNA NSPF FILLET FROZEN,SINT MAARTEN,EXP,771,4368
PRI,2014,"FISH,SHELLFISH PRODUCTS UNFIT FOR HUMAN CONSUMPTION",BRITISH VIRGIN IS.,EXP,682,9517
PRI,2014,TUNA NSPF PREPARED/PRESERVED,SINT MAARTEN,EXP,272,8398
PRI,2016,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",TRINIDAD & TOBAGO,EXP,4000,8529
PRI,2014,TILAPIA (OREOCHROMIS SPP.) FILLET FROZEN,BRITISH VIRGIN IS.,EXP,540,3180